null	morning clean	start cleaning right after getting out of bed, when mind is distracted	2015-04-09 23:00:00	2015-04-09 23:00:00	 9	0	false	null
null	anti-fungal	apply anti fungus medication	2015-04-09 23:00:00	2015-04-09 23:00:00	 7	4	false	null
null	pay bills	record bills going in and out / pay them	2015-04-09 23:00:00	2015-04-09 23:00:00	 9	3	false	null
null	budget	check statements / money / record	2015-04-09 23:00:00	2015-04-09 23:00:00	 5	0	false	null
null	habit program	use this program	2015-04-09 23:00:00	2015-04-09 23:00:00	 10	0	false	null
null	music schedule	put music on repeat to stop me from overfocusing	2015-04-09 23:00:00	2015-04-09 23:00:00	 7	0	false	null
null	do dishes	do dishes	2015-04-09 23:00:00	2015-04-09 23:00:00	 8	0	false	null
null	organize room	pick an area to organize, record it	2015-04-09 23:00:00	2015-04-09 23:00:00	 4	0	false	null
